Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,2000,52077.4,26.0387,5.37908,0.0537634,2.93497,0.114898,0,0,1225.81,258.065,193.548,150.538,21.5054,150.538,11
BR,1,2000,50003,25.0015,3.23644,0.0322581,3.28054,0.114898,0,0,1118.28,322.581,215.054,193.548,64.5161,86.0215,10
BR,1,2000,48112.8,24.0564,3.2304,0.0322581,3.44897,0.114898,0,0,1053.76,301.075,322.581,150.538,64.5161,107.527,13
BR,1,2000,46637.3,23.3186,7.53091,0.0752688,3.43039,0.114899,0,0,1053.76,258.065,236.559,107.527,150.538,193.548,14
BR,1,2000,46138.2,23.0691,5.3736,0.0537634,3.74764,0.114898,0,0,1032.26,236.559,279.57,215.054,86.0215,150.538,12
BR,1,2000,50517.1,25.2585,5.37949,0.0537634,3.17427,0.114899,0,0,1182.8,258.065,150.538,193.548,86.0215,129.032,15
BR,1,2000,48364.9,24.1824,4.30091,0.0430108,3.94398,0.114898,0,0,1161.29,150.538,193.548,236.559,129.032,129.032,16
BR,1,2000,48448.1,24.2241,5.37199,0.0537634,3.30767,0.114898,0,0,1139.78,172.043,279.57,172.043,86.0215,150.538,18
BR,1,2000,50880.5,25.4402,2.14933,0.0215054,3.93942,0.1149,0,0,1182.8,236.559,258.065,150.538,107.527,64.5161,17
BR,1,2000,44959,22.4795,6.44847,0.0645161,3.26031,0.114899,0,0,946.237,301.075,365.591,150.538,64.5161,172.043,19
BR,1,2000,50119.4,25.0597,5.37562,0.0537634,3.16723,0.114898,0,0,1182.8,258.065,129.032,129.032,107.527,193.548,20
BR,1,2000,50614.8,25.3074,6.44436,0.0645161,2.93204,0.114899,0,0,1139.78,344.086,193.548,86.0215,21.5054,215.054,23
BR,1,2000,47577.9,23.789,3.22049,0.0322581,3.51282,0.114898,0,0,989.247,430.108,215.054,150.538,129.032,86.0215,21
BR,1,2000,54081.9,27.0409,6.44484,0.0645161,3.53608,0.114899,0,0,1311.83,258.065,86.0215,107.527,107.527,129.032,24
BR,1,2000,47688.6,23.8443,3.22363,0.0322581,3.62682,0.114897,0,0,1053.76,301.075,258.065,150.538,129.032,107.527,22
BR,1,2000,49820.8,24.9104,2.14933,0.0215054,3.76297,0.114898,0,0,1161.29,236.559,215.054,150.538,107.527,129.032,25
BR,1,2000,47793.8,23.8969,5.3724,0.0537634,3.534,0.114899,0,0,1118.28,172.043,301.075,129.032,129.032,150.538,26
BR,1,2000,47304.7,23.6523,5.37602,0.0537634,3.98497,0.114898,0,0,1096.77,193.548,258.065,193.548,129.032,129.032,27
